ارزشی(بسیج),ارزشی(سپاه),ارزشی( مذهبی),ارزشی ( جنبش مصاف) ,طرفداران دولت و جنبش سبز,اصلاح طلبان,براندازان عام,جنبش های مدنی معارض,ایرانارشیست ها,منافقین ,سلطنت طلبان,ری استارتی ها,طرفداران طاهری,کردها,طرفداران اکسو, فناوری اطلاعات,معترضین به سهمیه های آموزشی,ادبی,ورزشی,ترک ها,فیلمبازان,سایر,,پاکستان1,پاکستان2,پاکستان3,افغان,عربی1,عربی 2,عربی3,خارجی- فیلم,خارجی
0,3,7,23,22,19,27,10,4,24,25,26,20,8,11,12,14,1,9,_,_,,,WeSupportARYNews,نوازشریف,ArmanLoni,BarchiAttack,الاهلي,حقائق_في_دقائق,دعم_خاص,TheFinalEpisode,DDay75
كروبي_سندتقلب_كو,شاه_مهره,مبعث_پیامبر_مبارک,مناجات_مهدوی,ملاقات_محصورین,آیه_الله_یزدی,بعد_بازی_ایران_پرتغال,saveGolrokh_Atena,اجرای_خیابانی_خشم,كانونهاي_شورشي,بگوبرگرددشاه,CYRUS_EMPIRE_BACK_BY_RESTART,استاد_طاهری,AfrinNotAlone,BBMAsTopSocialEXO,java,اعتراض_umsha,عرفی_شیرازی,برانکو_خط_قرمز_ماست,منی_تاپ,GamefThrones,,,جمعة_الوداع,تباہی_کاکریڈٹ_نیازی_کو,EndCurfewInNorthWaziristan,ننگرهار,صباحات_الهلال,خيال_المآته,صوت_الحق_للدعم,PS4share,MuellerReport
آمریکا_دشمن_بشریت,عشق_به_سپاه,فاطمه_ای_دیگر,منافق_را_رسوا_میکنیم,روحانى_تنها_نيست,سه‌هزار_روز_حصر,بعد_از_بازی,Sos_golrokh_soheil,ارتش_ایرانارشیست,IStandwithMaryamRajavi,رضا_شاه_آزادگر_زنان,IRAN_REGIME_CHANGE_BY_RESTART,MohammadAliTaheri,Efrin,Chen,الکام_استارز,سلامت_فداى_پول,حسین_دهلوی,و_زیر_پرسپولیسی,آنا_دیلی,GOT8,,,محکمہ_چھترول,NABGardiNahiChalegi,میں_بھی_افغان_ہوں,جاغوری,الاتحاد_النصر,انسحاب_قطر_من_قمة_مكة,صباح_الخميس,Aladdin,Jewish
از_خاشقچی_تا_مرضيه,دوباره_تحریم,نامیرا,منکوحه_ترکی_فیصل,حامی_روحانى_ام,جامعه_الزهرا,خزر_پر,banirib,بسیج_بلاهت_علیه_عبدالرضایی,IstandWithMaryamRajavi,ملیگرایان_مردمگرا,InviteRestartLeaderToWarsawSummit,MustReleaseTaheri,مقاومت_زندگیست,DohKyungsoo,سوارابرها,علوم_پزشکی_غیر_انتفاعی,اوحدی,برانکو_تنها_نیست,تورکجه,GoT,,,نانی_اماں420,کپتان_کی_نکمی_ٹیم,AfghanAtalan,ارزگان,الهلال_التعاون,خليج_عمان,الحشد_الشعبي,CaptainMarvel,GreenNewDeal
فرار_ظريف,اسرائیل_پر,نهج_البلاغه_بخوانیم,دار_المنافقین,دولت_منتخب,زندان_عادل_آباد,چالش_دعوت_بە_تظاهرات,پياده_روی_بدون_حجاب,مردم_ایرانارشیست,PMOI53,پروژه_ققنوس_ايران,MIGA_RESTART,قاضی_زرگر,نوروز_زندان_کردستان_خیابان,EXOLs,Python,پزشکی_غیرانتفاعی,دافنه_دوموریه,محسن_مسلمان,آذربایجان_چول_اولدو,فرندز,,,WelcomeBackKhadimRizvi,MaryamNawaz,PashtunLongMarch,اترا_کجاست,سعود_الفيصل,سكاي_أخبار,شعر_شعبي_عراقي,NuevaFotoDePerfil,Salvini
از_خاشقچی_تا_مرضیه,سقطت_سعودی,انقلاب_فاطمی,امام_زمان_تسليت,روحانی_تنهانیست,املاك_نجومی,چالش_توهین_به_مقدسات,دراویش_تنها_نیستند,گوشمالی_گشت_ارشاش,تابستان_خونین67,شاهنشاه_همیشه_جاوید_ایران,RESTARTMIGA,Taheri,kurdistan,Kyungsoo,پایتون,سلامت_مردم_بازیچه_پول_نیست,هاینریش_بل,ورزش_سه,تورکجه_جومالار,گات,,,ابو_بچاؤ_افطار_پارٹی,NawazSharif,Pashtun,Balikpapan,تافه_يستهزا_برجل_الامن_السعودي,سلمان_العودة,صباح,NotToday,Labour
شفافیت_آرای_مجمع,من_عاشق_قاسم_سلیمانی_هستم,حب_الرضا_یجمعنا,مریم_قجر,محصورین_زندانی,بهزاد_نبوى,پنجشنبه_اعتراض,آزادی_معترضان,حزب_ایرانارشیست,ديكتاتور_در_آتش,انقلاب_سفید_شاه_و_مردم,Restart_will_make_Iran_great_again,الف_مثل_استاد,بازداشتیهای_کردستان,BAEKHYUN_CityLights,لینوکس,نه_به_پزشک_سهمیه_ای,امید_صباغ_نو,سوپرجام,تورکی,oscar,,,میں_پاکستانی_ہوں,AltafHussain,PTMExposeStateTerrorism,نه_به_سهمیه_بندی_کانکور,الملكي,فرجت_مع_أبشر,تويتر_العراق,GameOfThronesFinale,MemorialDay
USAregimeChange,فردای_نابودی_اسرائیل,سبک_زندگی_انسانی,مهر_مهدوی,حامى_روحانى_ام,داروسازی_لقمان,iranianswantregimechange,banIRIB,عملیات_ایرانارشیستها,رأی_من_سرنگونی,ایران_را_پس_میگیریم_و_دوباره_میسازیم,Seyed_Mohammad_Hosseini,استاد_محمدعلی_طاهری,کرماشان,BaekhyunGeniusLight,فریلند,نه_به_سهميه,عليرضا_آذر,خبر_ورزشی,پانفارس,اسکار ,,,کامیابی_کا_سفر,DawnNews,PTMZindabad,Justice4Hazaras,الاتحاد,حمد_بن_جاسم_يسيء_للشعب_السعودي,البدون,BohemianRhapsody,DeepState
چهل_سال_سازندگي,No2FATF,مهربان_مثل_محمد,فلسطین_کلید_رمزآلود_فرج,با_روحاني_تا_١٤٠٠,مهدي_خلجی,در_خیابان_میمانیم,دختران_خیابان_اتقلاب,عملیات_ایرانارشیستی,سیمای_آزادی,زنان_فیروزه_ای,cyrus_empire_by_RESTART,محمدعلى_طاهرى,عفرین_تنها_نیست,CityLights,پونیشا,علوم_پزشکی_غیرانتفاعی,چارلز_بوکوفسکی,پرسپوليسی,تیراختور,گلدن_گلوب,,,ادب_کا_سفر,ImranKhanPrimeMinister,KharQamarMassacre,هلمند,ضد_السناب_الامني_العنصري,الضالع,الإمام_الرضا,TheWalkingDead,WalkAway
آمريكا_دشمن_بشريت,سیلی_سپاه,مادرم_فاطمه,افشاکنندگان_فساد,کابینه_دوازدهم,باغ‌_کشی,ساعت_۶,SaveGolrokh_Atena,علی_عبدالرضایی_تئوریسین_براندازی,شورای_ملی_مقاومت_ایران,بازگشت_پادشاهی,restartMIGA,freetaheri,کوردستان,EXO_SC,javascript,سلامت_فدای_پول,آلبرکامو,سید_جلال_حسینی,ازسندیکابگو,نولان,,,مفتی_اعظم_منیب_الرحمن,فخردرانی_حرامی,StateAttackedPTM,Jaghori,التعليم,محمد_بن_خر_الذيب,الإمام_علي,TheLionKing,giletsjaunes
بازهم_بسيج,اسرائيل_سقطت,حرکت_جهانی_اربعین,وکیل_الدوله,روحانی_تنها_نیست,ایران_برای_همه_ایرانیان,IsIamicRegimeMustGo,سيناقنبری,علي_عبدالرضايي,مریمـرجوی,جنبش_فیروزه‌ای,support_restart_opposition,درخواست_سلب_تابعیت,عفرین,EXOxBBMA,فناپ,نه_به_سهمیه,امیرخسرو_دهلوی,جام_ملتها,اویغور,کریستوفر_نولان,,,ڈٹ_کے_کھڑا_ہے_اب_عمران,NayaPakistan,EnglishPashto,StopTelecomRobbery,القصيم,عزمي_بشارة,الاتفاق_النووي,OnceUponATimeInHollywood,BlackHistoryMonth
شفافیت_آراء_مجمع,ShameOnUN,نماز_جمعه_انقلابی,دارالمنافقین,کابینه۲۴میلیونی,داروسازی_لقمان,WeStandWithIsrael,سپیده_فرهان,علی_عبدالرضایی_را_بشنوید,مسعود_رجوى,سرباز_رضاشاهيم,تنها_راه_نجات_ری_استارت,محمدعلي_طاهري,,Exo,دیجیتال‌اوشن,,حمیدرضا_عبداللهی,تیم_حکومتی,آزربایجان,جشنواره_فیلم_فجر,,,اجالا_نور_کا,HamzaShehbaz,Pakistani,پشتون,النصر,محمد_العرب,العتبة_الحسينية_المقدسة,AvengersEndgame,DrainTheSwamp
,,,مراسم_احیای_مهدوی,حصر_باید_بشکنه,حمید_حاجیان,دومینوی_اعتصابات,آتنادائمی,حزب_ایرانارشیسم,مسعود_رجوي,protectpahlavi,ري_استارتيها,FreeTaheri,,KYUNGSOO,آروان,,زیگموند_فروید,استقلال_خوزستان,تورک,,,,جمعہ_مبارک,WeStandWithAsifAliZardari,ChairmanNabScandal,اشرف_غنی,رؤية_2030,الاخوان,يوم_الجمعه,ForTheThrone,Damascus
,,,زندگی_ساده_رهبر_انقلاب,,,این_انتخاب_من_نیست,ساروقهرمانی,,کانون‌های_شورشی,ققنوس_رستاخیز_ایران,نه_شاه_نه_خمینی_خدا_میهن_حسینی,taheri_movement,,,الکامپ,,مصطفی_مستور,کیروش_باید_برود,,,,,سوچ_کا_سفر,صلاح_الدین_ایوبی_نےکہاتھا,,,كندا,الحوثيون,عيد_الغدير,Interstellar,climatechange
,,,شفافیت_آراء_نمایندگان,,,تابستان_نارضایتی,,,BlacklistIRGC,اگر_شاه_بود,چالش_سکوت_حسینی,Taheri_movement,,,الکام‌استارز,,سیدعلی_صالحی,قلعه‌نویی,,,,,IndiaVsPakistan,,,,الهلال,خر_الذيب,,,WeThePeople
,,,,,,KhashoggiOfIranIsDrHakki,,,مسعودرجوی,شاهدخت_نور_پهلوی,,محمدعلی_طاهری,,,PHP,,پائولو_کوئلیو,میناوند,,,,,WeStandWithKhan,,,,الزعيم,الحدث,,,Auschwitz
,,,,,,,,,BlackListMOIS,شاهدخت_نور_پهلوى,,Taheri_Movement,,,هکر,,جمال_ثریا,شفر,,,,,شہادت_علی_حیدرکرارؑ,,,,محمد_بن_سلمان_بن_عبدالعزيز,قمم_مكة,,,GiletsJaunes
,,,,,,,,,اشرف۳,,,,,,جاوا,,علی_سید_صالحی,,,,,,پاکستان_زندہ_باد,,,,,الاخوان_المسلمين,,,ClimateStrike
,,,,,,,,,ExpelIranDiplomatTerrorists,,,,,,Java,,امیر_وجود,,,,,,PTM_Tabah_De,,,,,السعودي,,,NationalPetDay
,,,,,,,,,کانون_شورشی,,,,,,استارت‌آپ,,الیف_شافاک,,,,,,,,,,,العربية_عاجل,,,SriLankaAttacks
,,,,,,,,,شورای_ملی_مقاومت,,,,,,کافه_بازار,,روزبه_معین,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,بلاکچین,,فرانتس_کافکا,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,freeland_day,,استیو_تولتز,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,برنامه_نویس,,عماد_خراسانی,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,من_طراحم,,رومن_گاری,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ماینینگ,,شازده_کوچولو,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,وردپرس,,جنایات_و_مکافات,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,قلعه_حیوانات,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,صدسال_تنهایی,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ملت_عشق,,,,,,,,,,,,,,
